trial_index,lstm_window_size,lstm_window_stride,lstm_hidden_dim,lstm_num_layers,lstm_dropout,lstm_batch_size,lstm_epochs,lstm_patience,lstm_lr,lstm_weight_decay,lstm_bidirectional,gat_graph_window_days,gat_edge_temporal_days,gat_edge_radius_km,gat_local_subgraph_radius_km,gat_max_nodes,gat_min_nodes,gat_graph_stride,gat_max_train_graphs,gat_max_val_graphs,gat_max_test_graphs,gat_tcn_hidden,gat_gat_hidden,gat_heads,gat_dropout,gat_batch_size,gat_epochs,gat_patience,gat_lr,gat_weight_decay
1,16,4,64,1,0.1,256,6,2,0.0003,1e-05,True,30,15,50.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
2,24,4,64,1,0.1,256,6,2,0.0003,1e-05,True,90,30,50.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
3,32,4,64,1,0.1,256,6,2,0.0003,1e-05,True,60,60,50.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
4,40,4,64,1,0.1,256,6,2,0.0003,1e-05,True,45,30,75.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
5,16,8,64,1,0.1,256,6,2,0.0003,1e-05,True,30,60,75.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
6,24,8,64,1,0.1,256,6,2,0.0003,1e-05,True,90,15,100.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
7,32,8,64,1,0.1,256,6,2,0.0003,1e-05,True,60,45,100.0,100.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
8,40,8,64,1,0.1,256,6,2,0.0003,1e-05,True,45,15,125.0,125.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
9,16,4,96,1,0.1,256,6,2,0.0003,1e-05,True,30,45,125.0,125.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
10,24,4,96,1,0.1,256,6,2,0.0003,1e-05,True,90,60,125.0,125.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
11,32,4,96,1,0.1,256,6,2,0.0003,1e-05,True,60,30,50.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
12,40,4,96,1,0.1,256,6,2,0.0003,1e-05,True,45,60,50.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
13,16,8,96,1,0.1,256,6,2,0.0003,1e-05,True,30,30,75.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
14,24,8,96,1,0.1,256,6,2,0.0003,1e-05,True,90,45,75.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
15,32,8,96,1,0.1,256,6,2,0.0003,1e-05,True,60,15,100.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
16,40,8,96,1,0.1,256,6,2,0.0003,1e-05,True,45,45,100.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
17,16,4,128,1,0.1,256,6,2,0.0003,1e-05,True,30,15,125.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
18,24,4,128,1,0.1,256,6,2,0.0003,1e-05,True,90,30,125.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
19,32,4,128,1,0.1,256,6,2,0.0003,1e-05,True,60,60,125.0,150.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
20,40,4,128,1,0.1,256,6,2,0.0003,1e-05,True,45,30,50.0,200.0,64,8,6,8000,2000,2000,32,32,2,0.15,32,6,2,0.0005,1e-05
