source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
0,63,-168.07,52.362,4.7,-168.0427,52.2838,2.7,8.89119,7.492456e-07
1,63,-168.0493,52.2483,3.1,-168.0427,52.2838,2.7,3.972889,7.477998e-07
2,63,-168.196,52.208,3.4,-168.0427,52.2838,2.7,13.4153,7.4655094e-07
3,63,-168.1284,52.145,3.0,-168.0427,52.2838,2.7,16.501356,7.426989e-07
4,63,-168.1641,52.2193,3.1,-168.0427,52.2838,2.7,10.942278,7.423243e-07
0,62,-168.07,52.362,4.7,-168.185,52.166,2.9,23.156782,7.391333e-07
1,62,-168.0493,52.2483,3.1,-168.185,52.166,2.9,13.009593,7.376875e-07
5,63,-168.0153,52.2873,2.8,-168.0427,52.2838,2.7,1.9039723,7.366129e-07
2,62,-168.196,52.208,3.4,-168.185,52.166,2.9,4.730009,7.3643866e-07
6,63,-167.97,52.277,3.5,-168.0427,52.2838,2.7,5.00316,7.3557004e-07
7,63,-168.139,52.392,4.5,-168.0427,52.2838,2.7,13.695196,7.354483e-07
3,62,-168.1284,52.145,3.0,-168.185,52.166,2.9,4.5124373,7.325866e-07
4,62,-168.1641,52.2193,3.1,-168.185,52.166,2.9,6.0955048,7.32212e-07
8,63,-167.9895,52.28,3.0,-168.0427,52.2838,2.7,3.643593,7.3163983e-07
9,63,-168.019,52.351,3.5,-168.0427,52.2838,2.7,7.6439757,7.3035153e-07
0,61,-168.07,52.362,4.7,-168.475,52.392,4.8,27.693174,7.272205e-07
5,62,-168.0153,52.2873,2.8,-168.185,52.166,2.9,17.762962,7.265006e-07
1,61,-168.0493,52.2483,3.1,-168.475,52.392,4.8,33.052734,7.2577467e-07
6,62,-167.97,52.277,3.5,-168.185,52.166,2.9,19.152922,7.2545777e-07
10,63,-168.2331,52.1187,2.9,-168.0427,52.2838,2.7,22.481043,7.254243e-07
7,62,-168.139,52.392,4.5,-168.185,52.166,2.9,25.324154,7.25336e-07
2,61,-168.196,52.208,3.4,-168.475,52.392,4.8,27.902096,7.245258e-07
11,63,-168.294,52.251,4.7,-168.0427,52.2838,2.7,17.48525,7.2368357e-07
8,62,-167.9895,52.28,3.0,-168.185,52.166,2.9,18.385447,7.2152756e-07
3,61,-168.1284,52.145,3.0,-168.475,52.392,4.8,36.20201,7.2067377e-07
4,61,-168.1641,52.2193,3.1,-168.475,52.392,4.8,28.558462,7.2029917e-07
9,62,-168.019,52.351,3.5,-168.185,52.166,2.9,23.469572,7.2023926e-07
0,60,-168.07,52.362,4.7,-168.167,52.185,3.0,20.758587,7.190053e-07
1,60,-168.0493,52.2483,3.1,-168.167,52.185,3.0,10.669525,7.175595e-07
0,59,-168.07,52.362,4.7,-168.084,52.257,2.8,11.714197,7.1640034e-07
2,60,-168.196,52.208,3.4,-168.167,52.185,3.0,3.2322657,7.1631064e-07
0,58,-168.07,52.362,4.7,-168.17,52.233,2.7,15.87444,7.1556866e-07
10,62,-168.2331,52.1187,2.9,-168.185,52.166,2.9,6.1997175,7.15312e-07
1,59,-168.0493,52.2483,3.1,-168.084,52.257,2.8,2.5525014,7.149545e-07
5,61,-168.0153,52.2873,2.8,-168.475,52.392,4.8,33.33031,7.1458777e-07
12,63,-168.327,52.299,4.8,-168.0427,52.2838,2.7,19.409502,7.143167e-07
1,58,-168.0493,52.2483,3.1,-168.17,52.233,2.7,8.39268,7.141228e-07
2,59,-168.196,52.208,3.4,-168.084,52.257,2.8,9.373623,7.137057e-07
11,62,-168.294,52.251,4.7,-168.185,52.166,2.9,12.020601,7.135713e-07
6,61,-167.97,52.277,3.5,-168.475,52.392,4.8,36.617817,7.135449e-07
